id,fecha,produccion(Wh)
15,21/07/2020,27195.875
15,22/07/2020,29018.297
15,23/07/2020,28113.027
15,24/07/2020,28706.023
15,25/07/2020,24278.723
15,26/07/2020,16939.047
16,17/07/2020,12315.121
16,18/07/2020,13431.866
16,19/07/2020,10854.6
16,20/07/2020,13407.818
16,21/07/2020,13454.029
16,22/07/2020,13275.75
16,23/07/2020,12104.843
16,24/07/2020,13670.916
16,25/07/2020,12416.622
16,26/07/2020,6975.3506
19,17/07/2020,14292.577
19,18/07/2020,14111.676
19,19/07/2020,12911.266
19,20/07/2020,14532.046
19,21/07/2020,13440.388
19,22/07/2020,15470.838
19,23/07/2020,13515.855
19,24/07/2020,15638.433
19,25/07/2020,13781.781
19,26/07/2020,8173.699
20,17/07/2020,15361.647
20,18/07/2020,15470.245
20,19/07/2020,13698.769
20,20/07/2020,15708.931
20,21/07/2020,15786.265
20,22/07/2020,16443.492
20,23/07/2020,16010.312
20,24/07/2020,16161.891
20,25/07/2020,14213.435
20,26/07/2020,9253.977
25,17/07/2020,15096
25,18/07/2020,12282
25,19/07/2020,12123
25,20/07/2020,14164
25,21/07/2020,12738
25,22/07/2020,13706
25,23/07/2020,12803
25,24/07/2020,13706
25,25/07/2020,12737
25,26/07/2020,11994
1,23/03/2015,708.5626
1,24/03/2015,1091.0428
1,25/03/2015,18982.7598
1,26/03/2015,38035.5
1,27/03/2015,37187.3047
1,28/03/2015,40428.1797
1,29/03/2015,40164.6211
1,30/03/2015,58032.6094
1,31/03/2015,55107.2188
1,01/04/2015,45114.6133
1,02/04/2015,41424.9258
1,03/04/2015,54209.3242
1,04/04/2015,52543.9961
1,05/04/2015,55220.4961
1,06/04/2015,54054.4062
1,07/04/2015,55118.707
1,08/04/2015,47950.0195
1,09/04/2015,51971.1094
1,10/04/2015,52484.8945
1,11/04/2015,28438.6797
1,12/04/2015,43844.1562
1,13/04/2015,39003.7188
1,14/04/2015,43972.6836
1,15/04/2015,43363.418
1,16/04/2015,49628.6836
1,17/04/2015,40185.3477
1,18/04/2015,47898.3516
1,19/04/2015,50278.6758
1,20/04/2015,52848.9609
1,21/04/2015,47456.5234
1,22/04/2015,40689.9219
1,23/04/2015,50920.3242
1,24/04/2015,40929.3086
1,25/04/2015,50168.2227
1,26/04/2015,46191.1367
1,27/04/2015,36262.4883
1,28/04/2015,33368.0977
1,29/04/2015,13560.4062
1,30/04/2015,34089.9102
1,01/05/2015,39351.9258
1,02/05/2015,27097.0898
1,03/05/2015,46941.2852
1,04/05/2015,40571.5781
1,05/05/2015,43981.918
1,06/05/2015,42265.625
1,07/05/2015,42973.207
1,08/05/2015,50145.8359
1,09/05/2015,47935.5352
1,10/05/2015,44300.7422
1,11/05/2015,44849.332
1,12/05/2015,32533.373
1,13/05/2015,31751.7578
1,14/05/2015,40324.6016
1,15/05/2015,33507.668
1,16/05/2015,37869.2891
1,17/05/2015,48511.8516
1,18/05/2015,46959.0039
1,19/05/2015,43206.5547
1,20/05/2015,35271.6133
1,21/05/2015,47584.0195
1,22/05/2015,30830.2285
1,23/05/2015,47778.1406
1,24/05/2015,34563.1992
1,25/05/2015,40311.9141
1,26/05/2015,40455.9375
1,27/05/2015,37839.0898
1,28/05/2015,35982.6328
1,29/05/2015,29195.9805
1,30/05/2015,24608.4688
1,31/05/2015,20294.5664
1,01/06/2015,34530.5508
1,02/06/2015,37970.8828
1,03/06/2015,29932.623
1,04/06/2015,40326.4414
1,05/06/2015,22388.9648
1,06/06/2015,27031.6543
1,07/06/2015,41616.7344
1,08/06/2015,47874.0938
1,09/06/2015,45915.4766
1,10/06/2015,47426.0898
1,11/06/2015,47729.2578
1,12/06/2015,41344.9766
1,13/06/2015,36668.9805
1,14/06/2015,32885.7148
1,15/06/2015,35672.6523
1,16/06/2015,42700.4023
1,17/06/2015,39520.3984
1,18/06/2015,16766.0293
1,19/06/2015,42623.1445
1,20/06/2015,26709.9805
1,21/06/2015,30570.1855
1,22/06/2015,28247.2988
1,23/06/2015,43816.9414
1,24/06/2015,30007.9102
1,25/06/2015,33767.8594
1,26/06/2015,37769.9766
1,27/06/2015,32426.9023
1,28/06/2015,28372.0176
1,29/06/2015,23810.1758
1,30/06/2015,30156.6562
1,01/07/2015,31582.9219
1,02/07/2015,21608.7148
1,03/07/2015,32369.0703
1,04/07/2015,25789.6445
1,05/07/2015,38173.5938
1,06/07/2015,34392.418
1,07/07/2015,35481.043
1,08/07/2015,36496.0586
1,09/07/2015,39926.1797
1,10/07/2015,27713.4062
1,11/07/2015,34582.0977
1,12/07/2015,33959.4922
1,13/07/2015,45989.3555
1,14/07/2015,45051.3242
1,15/07/2015,47945.7188
1,16/07/2015,42850.168
1,17/07/2015,39117.1367
1,18/07/2015,22921.543
1,19/07/2015,39862.293
1,20/07/2015,40869.2266
