,specific_prod(kWh/kWp),azimuth,tilt,lat,uvIndex,sunHour,cloudcover,maxtempC,mintempC,precipitation
199,4.035320156862745,180.0,15.0,19.354622,6.0,11.6,2.0,28.0,15.0,1.1
200,4.117273666666667,180.0,15.0,19.354622,6.0,11.6,5.0,28.0,15.0,5.5
201,4.232918578431373,180.0,15.0,19.354622,6.0,11.6,5.0,27.0,15.0,0.8
202,4.206087235294118,180.0,15.0,19.354622,6.0,11.6,5.0,28.0,14.0,1.4
203,4.472203588235295,180.0,15.0,19.354622,6.0,11.6,5.0,27.0,15.0,1.9
204,3.3607268725490202,180.0,15.0,19.354622,6.0,11.6,7.0,26.0,15.0,5.0
205,3.4897414999999996,180.0,15.0,19.354622,5.0,11.6,11.0,26.0,13.0,0.0
206,4.638760343137255,180.0,15.0,19.354622,6.0,11.6,7.0,27.0,13.0,0.9
207,4.0752983333333335,180.0,15.0,19.354622,5.0,11.6,9.0,25.0,14.0,3.7
208,4.07259574509804,180.0,15.0,19.354622,5.0,11.6,10.0,25.0,13.0,5.4
209,3.403396137254902,180.0,15.0,19.354622,4.0,11.6,17.0,23.0,13.0,5.2
210,3.7538185490196088,180.0,15.0,19.354622,5.0,11.6,22.0,23.0,13.0,2.0
211,2.227679990196078,180.0,15.0,19.354622,5.0,11.6,44.0,21.0,14.0,4.6
212,2.5184600980392156,180.0,15.0,19.354622,5.0,11.6,51.0,20.0,14.0,4.1
213,4.302871480392157,180.0,15.0,19.354622,5.0,11.6,20.0,24.0,13.0,1.4
214,4.486543735294117,180.0,15.0,19.354622,5.0,11.6,6.0,26.0,12.0,0.7
215,4.632547107843137,180.0,15.0,19.354622,5.0,11.6,5.0,25.0,12.0,0.9
216,3.586783852941177,180.0,15.0,19.354622,5.0,11.6,7.0,25.0,12.0,1.6
217,2.89866287254902,180.0,15.0,19.354622,5.0,11.6,9.0,25.0,13.0,4.6
218,3.598071764705883,180.0,15.0,19.354622,5.0,11.6,10.0,25.0,12.0,2.8
219,4.335680147058824,180.0,15.0,19.354622,5.0,11.6,15.0,24.0,13.0,1.1
220,3.9118252156862745,180.0,15.0,19.354622,5.0,11.6,8.0,25.0,12.0,2.2
221,3.1100130196078433,180.0,15.0,19.354622,5.0,11.6,8.0,24.0,12.0,0.6
222,4.643524049019608,180.0,15.0,19.354622,5.0,11.6,17.0,24.0,13.0,4.0
223,4.618136107843137,180.0,15.0,19.354622,5.0,11.6,7.0,26.0,12.0,0.2
224,4.219597882352941,180.0,15.0,19.354622,5.0,11.6,13.0,24.0,12.0,5.0
225,2.717414411764706,180.0,15.0,19.354622,5.0,11.6,27.0,22.0,13.0,14.5
226,3.789986215686275,180.0,15.0,19.354622,5.0,11.6,21.0,23.0,12.0,7.3
227,4.196884578431373,180.0,15.0,19.354622,5.0,11.6,15.0,24.0,12.0,1.8
228,4.508103549019609,180.0,15.0,19.354622,5.0,11.6,7.0,24.0,11.0,0.0
229,4.590924480392157,180.0,15.0,19.354622,5.0,11.6,3.0,24.0,10.0,0.4
230,4.344567627450981,180.0,15.0,19.354622,5.0,11.6,8.0,24.0,11.0,0.7
231,3.9438805882352947,180.0,15.0,19.354622,5.0,11.6,8.0,23.0,10.0,0.0
232,4.6134953235294125,180.0,15.0,19.354622,5.0,11.6,7.0,23.0,10.0,0.0
233,3.749757578431373,180.0,15.0,19.354622,5.0,11.6,12.0,25.0,11.0,0.3
234,4.4196492058823535,180.0,15.0,19.354622,5.0,11.6,1.0,26.0,10.0,0.1
235,3.2190801176470596,180.0,15.0,19.354622,5.0,11.6,13.0,23.0,11.0,4.7
236,2.6804329411764707,180.0,15.0,19.354622,5.0,11.6,41.0,21.0,13.0,6.9
237,3.0715171176470593,180.0,15.0,19.354622,5.0,11.6,40.0,21.0,12.0,12.0
238,2.1904356274509804,180.0,15.0,19.354622,5.0,11.6,32.0,21.0,13.0,6.1
239,3.5294818431372557,180.0,15.0,19.354622,5.0,11.6,43.0,21.0,13.0,8.8
240,3.100520068627451,180.0,15.0,19.354622,4.0,11.6,29.0,21.0,13.0,10.1
241,2.443853784313726,180.0,15.0,19.354622,4.0,11.6,30.0,22.0,13.0,9.0
242,2.539396450980392,180.0,15.0,19.354622,5.0,11.6,31.0,20.0,12.0,4.7
